Rank	CNG	Prospect	College	P1	Ht	Wt	Elig	DR
375	--	Kaimon Rucker	North Carolina	EDGE	6'2"	265	RSR	DRO
376	--	Major Burns	LSU	S	6'2"	193	RSR	HU
377	--	Johnny Walker Jr.	Missouri	EDGE	6'3"	255	GR	SH
378	player up arrow ranking+80	Max Brosmer	Minnesota	QB	6'2"	225	GR	SH
379	--	Chandler Martin	Memphis	ILB	6'0"	230	SR	SH
380	--	Jack Conley	Boston College	OG	6'7"	325	GR	SH
381	--	Karene Reid	Utah	OLB	6'0"	226	SR	SR
382	--	Marcus Tate	Clemson	OG	6'5"	325	SR	DRO
383	--	Jaheim Thomas	Wisconsin	ILB	6'4"	245	SR	HU
384	--	Phil Mafah	Clemson	RB	6'1"	230	GR	SH
385	--	Joey Hobert	Texas State	WRS	5'10"	189	RSR	
386	--	Graham Nicholson	Alabama	PK	6'0"	185	SR	HU
387	--	Aiden Williams	Minnesota-Duluth	OT	6'6"	295	RSR	SH
388	--	Sean Martin	West Virginia	DL5T	6'5"	290	RSR	SH
389	--	Myles Purchase	Iowa State	CB	5'11"	205	SR	HU
390	--	Jacolby George	Miami (FL)	WR	6'0"	176	SR	SH
391	--	Jalen McLeod	Auburn	OLB	6'1"	236	SR	SR
392	--	Joe Huber	Wisconsin	OG	6'5"	310	RSR	SH
393	--	Mason Richman	Iowa	OT	6'6"	312	RSR	
394	--	Alijah Huzzie	North Carolina	CBN	5'10"	193	RSR	HU
395	--	Kai Kroeger	South Carolina	P	6'3"	212	RSR	SH
396	--	John Williams	Cincinnati	OT	6'5"	320	RSR	SH
397	--	Dante Trader Jr.	Maryland	S	5'11"	202	SR	SR
398	--	Mario Anderson	Memphis	RB	5'9"	208	SR	HU
399	--	Peny Boone	UCF	RB	6'1"	242	SR	HU
400	--	Cam'ron Silmon-Craig	Colorado	S	5'10"	185	SR	SH
401	--	Brian Blades II	FIU	CBN	5'11"	172	RJR	
402	--	Tyler Cooper	Minnesota	OG	6'5"	310	RSR	SH
403	--	Justin Walley	Minnesota	CB	5'11"	190	SR	SH
404	--	Khalan Griffin	Lamar	RB	5'10"	206	SR	DRO
405	--	Marcus Carroll	Missouri	RB	5'9"	210	RSR	DRO
406	--	Ke'Shawn Williams	Indiana	WRS	5'9"	189	RSR	DRO
407	--	Brian Ugwu	Miami (OH)	EDGE	6'3"	250	SR	
408	--	Jermayne Lole	Texas	DL1T	6'3"	315	GR	DRO
409	--	Glendon Miller	Maryland	S	6'2"	206	SR	SH
410	--	Marcus Wehr	Montana State	OG	6'4"	300	RSR	SH
411	--	Isas Waxter	Villanova	CB	6'2"	215	GR	SH
412	--	Tyron Herring	Delaware	DB	6'2"	195	GR	SH
413	--	Zemaiah Vaughn	Utah	CB	6'2"	185	RSR	
414	--	Quinn Schulte	Iowa	S	6'1"	209	GR	
415	--	Gavin Bartholomew	Pittsburgh	TE	6'4"	255	SR	SR
416	--	Thomas Perry	Middlebury	OG	6'3"	317	SR	SH
417	--	Simeon Barrow Jr.	Miami (FL)	DL3T	6'1"	290	RSR	
418	--	Dalton Cooper	Oklahoma State	OT	6'6"	315	RSR	HU
419	--	Tanner Miller	Michigan State	OC	6'1"	290	RSR	
420	--	Devin Kirkwood	UCLA	CB	6'2"	208	SR	
421	 NEW	Terrence Spence	James Madison	CB	6'2"	195	SR	HU
422	--	Jacob Sexton	Oklahoma	OG	6'6"	325	JR	
423	--	Evan Pryor	Cincinnati	RB	5'10"	198	RJR	
424	--	Yam Banks	Ole Miss	S	6'1"	208	RSR	
425	--	Jabre Barber	Texas A&M	WRS	5'10"	182	RSR	DRO
426	--	Micah Bernard	Utah	RB	6'0"	206	RSR	HU
427	--	Gareth Warren	Lindenwood	OT	6'6'	328	SR	SH
428	--	Garnett Hollis	West Virginia	CB	6'1"	201	SR	SH
429	--	Donovan McMillon	Pittsburgh	S	6'2"	205	SR	HU
430	--	Gerald Mincey	Kentucky	OT	6'6"	337	RSR	DRO
431	--	Kain Medrano	UCLA	OLB	6'3"	230	SR	SH
432	--	Noah Burnette	North Carolina	PK	5'10"	175	SR	
433	 NEW	Carson Bruener	Wisconsin	ILB	6'2"	226	SR	SH
434	--	Timothy McKay	Norht Carolina State	OG	6'4"	312	GR	SH
435	--	Gus Hartwig	Purdue	OC	6'5"	315	RSR	
436	--	R.J. Mickens	Clemson	S	6'0"	210	GR	SH
437	--	Mike Smith Jr.	Eastern Kentucky	DB	6'1"	206	SR	SH
438	--	Zach Carpenter	Miami	OC	6'4"	295	RSR	
439	--	Bud Clark	TCU	S	6'2"	190	RSR	
440	--	Ulysses Bentley IV	Ole Miss	RB	5'10"	200	SR	DRO
441	--	Josh Priebe	Michigan	OG	6'5"	306	RSR	
442	--	Alijah Clark	Syracuse	S	6'1"	187	SR	SH
443	--	Walker Parks	Clemson	OG	6'5"	310	RSR	
444	--	Myles Hinton	Michigan	OT	6'6"	340	RSR	
445	--	Donovan Smith	Houston	QB	6'5"	235	RSR	
446	--	Jaylin Lane	Virginia Tech	WRS	5'9"	192	RSR	SR
447	--	Mekhi Butler	Arkansas State	OG	6'3"	320	RSR	
448	--	Nick Jackson	Iowa	OLB	6'0"	235	GR	HU
449	--	Jacoby Jones	UCF	WR	6'2"	228	RSR	
450	--	Chimere Dike	Florida	WR	6'0"	195	SR	SR
451	--	Seth Henigan	Memphis	QB	6'3"	218	SR	SH
452	--	John Bullock	Nebraska	ILB	6'0"	230	RSR	
453	--	Quinton Cooley	Liberty	RB	5'7"	220	RSR	HU
454	--	Montrell Johnson	Florida	RB	5'11"	215	SR	SH
455	--	Makari Paige	Michigan	S	6'3"	208	RSR	
456	--	Cameron Oliver	UNLV	CB	6'1"	175	SR	DRO
457	--	Luke Grimm	Kansas	WR	5'11"	190	RSR	
458	--	Nash Hutmacher	Nebraska	DL1T	6'3"	330	SR	SH
459	--	Stevo Klotz	Iowa State	TE	6'4"	260	RSR	HU
460	--	Nick Malone	West Virginia	OT	6'5"	298	RSR	
461	--	Javontez Spraggins	Tennessee	OG	6'3"	330	RSR	HU
462	--	Dartanyan Tinsley	Cincinnati	OG	6'4"	320	RSR	HU
463	--	Beau Freyler	Iowa State	S	6'2"	220	SR	DRO
464	--	Kempton Shine	Virginia	CBN	5'11"	191	GR	DRO
465	--	Xavier Carlton	California	EDGE	6'6"	275	RSR	HU
466	--	Chris Hilton Jr.	LSU	WR	6'0"	190	RJR	
467	--	Rivaldo Fairweather	Auburn	TE	6'4"	251	RSR	SH
468	--	Shamari Simmons	Arizona State	CBN	6'0"	195	GR	SH
469	--	Michael Trigg	Ole Miss	TE	6'3"	240	SR	
470	--	Zykeivous Walker	Auburn	DL3T	6'3"	289	SR	
471	--	Duce Chestnut	Syracuse	S	6'0"	198	SR	
472	--	Xzavier Henderson	Cincinnati	WR	6'3"	200	SR	HU
473	--	Dillon Poirier	New Hampshire	OC	6'4"	304	SR	HU
474	--	Matt Jones	Baylor	ILB	6'4"	246	RSR	HU
475	--	Dragan Kesich	Minnesota	PK	6'4"	230	RSR	HU
476	--	Mike Katic	Indiana	OC	6'3"	318	RSR	DRO
477	--	Jalin Conyers	Texas Tech	TE	6'4"	265	RSR	SH
478	--	Aydan White	NC State	CB	6'0"	185	SR	HU
479	--	Robert Lewis	Auburn	WRS	5'11"	185	RSR	
480	 NEW	Cam Miller	North Dakota State	QB	6'1"	212	RSR	SH
481	--	John Saunders Jr.	Ole Miss	S	6'2"	200	RSR	
482	--	B.J. Mayes	Texas A&M	CB	6'1"	195	SR	DRO
483	--	Ruben Hyppolite II	Maryland	ILB	6'0"	240	SR	HU
484	--	Luke Elzinga	Oklahoma	P	6'4"	223	RSR	SH
485	--	Khris Bogle	Michigan State	EDGE	6'3"	245	RSR	
486	--	Drew Shelton	Penn State	OT	6'5"	306	JR	
487	--	Treshaun Ward	Boston College	RB	5'10"	192	RSR	
488	--	Johnathan Edwards	Tulane	CB	6'1"	200	SR	HU
489	--	Korey Foreman	Fresno State	EDGE	6'4"	235	SR	
490	--	R.J. Maryland	SMU	TE	6'4"	233	JR	
491	 NEW	Josh Wojciechowicz	South Dakota Mines	LS	6'3"	245	SR	SH
492	--	David Spaulding	South Carolina	CB	6'1"	195	RSR	
493	--	Woodi Washington	Oklahoma	CB	5'11"	202	RSR	
494	 NEW	Eric Phoenix	South Carolina State	ATH	6'3"	210	GR	DRO
495	--	Julian Fleming	Penn State	WR	6'2"	205	SR	DRO
496	--	Isheem Young	North Texas	S	5'10"	215	RSR	
497	--	Jayson Jones	Auburn	DL1T	6'5"	338	RSR	DRO
498	--	Jack Henderson	Minnesota	S	6'2"	215	SR	
499	--	Jalen White	Georgia Southern	RB	6'0"	215	SR	
500	--	Ty French	West Virginia	EDGE	6'2"	230	RSR
