Rank	CNG	Prospect	College	P1	Ht	Wt	Elig	DR
199	player up arrow ranking+50	Riley Leonard	Notre Dame	QB	6'4"	209	SR	SR
200	--	Kyle McCord	Syracuse	QB	6'3"	220	SR	SH
201	--	Elijah Arroyo	Miami (FL)	TE	6'4"	245	SR	SR
202	player up arrow ranking+10	Cam Horsley	Boston College	DL3T	6'4"	306	SR	SH
203	--	Tonka Hemingway	South Carolina	DL5T	6'2"	285	RSR	DRO
204	--	Carson Schwesinger	UCLA	ILB	6'2"	225	RJR	SR
205	--	Earnest Greene III	Georgia	OG	6'4"	320	RSO	
206	--	Darius Alexander	Toldeo	DL3T	6'4"	310	SR	SR
207	--	Tim Smith	Alabama	DL3T	6'3"	302	RSR	DRO
208	--	Brandon Adams	UCF	CB	6'2"	186	SR	SR
209	player down arrow ranking -50	Dominic Lovett	Georgia	WRS	5'9"	185	SR	DRO
210	--	Hunter Wohler	Wisconsin	S	6'2"	211	JR	SR
211	--	James Burnip	Alabama	P	6'6"	220	RSR	SR
212	--	Quincy Riley	Louisville	CB	6'0"	185	RSR	SR
213	--	Craig Woodson	Cal	S	6'0"	210	SR	SH
214	--	Jack Kiser	Notre Dame	OLB	6'2"	223	RSR	
215	--	Maxen Hook	Toledo	S	6'0"	203	SR	SR
216	--	Vernon Broughton	Texas	DL3T	6'4"	305	SR	SR
217	player up arrow ranking+20	David Walker	Central Arkansas	EDGE	6'2"	260	SR	SR
218	--	Miles Frazier	LSU	OG	6'6"	335	RSR	SR
219	--	Upton Stout	Western Kentucky	CBN	5'9"	182	RJR	SR
220	--	Deshawn Pace	Central Florida	OLB	6'2"	215	RSR	SH
221	player up arrow ranking+50	Damien Martinez	Miami (FL)	RB	5'11"	232	JR	SR
222	player up arrow ranking+30	Dillon Gabriel	Oregon	QB	6'0"	205	RSR	SR
223	--	Shaun Dolac	Buffalo	OLB	6'1"	225	GR	DRO
224	--	Aubrey Burks	West Virginia	S	5'11"	202	SR	
225	--	J.C. Davis	Illinois	OT	6'5"	307	SR	SR
